edge,p_value,Gene1,Gene2
RRP9+TFB2M,0.0062840745358067,RRP9,TFB2M
WNT10A+WNT3A,0.0062884403080733,WNT10A,WNT3A
SHOX2+TBX3,0.0062918376396574,SHOX2,TBX3
SNRNP200+WBP4,0.0062965195264059,SNRNP200,WBP4
FTSJ3+RRP15,0.0062968414641836,FTSJ3,RRP15
GNAO1+HLA-DRB1,0.0063063763573209,GNAO1,HLA-DRB1
NPHP1+OFD1,0.0063078719969441,NPHP1,OFD1
CUL1+TRRAP,0.0063080673617938,CUL1,TRRAP
AIFM3+SLC7A4,0.0063084947253498,AIFM3,SLC7A4
SUMO3+TDG,0.0063110738708802,SUMO3,TDG
GRPEL2+HSCB,0.006315037351388,GRPEL2,HSCB
GTPBP4+RPL3L,0.0063185407166704,GTPBP4,RPL3L
DHX38+MAGOH,0.0063193275894363,DHX38,MAGOH
DEAF1+ZMYND11,0.0063428024707809,DEAF1,ZMYND11
CHEK1+HNRNPD,0.0063437136849488,CHEK1,HNRNPD
KIF15+TOP2A,0.0063600864749773,KIF15,TOP2A
EPOR+NFKB1,0.0063604094521423,EPOR,NFKB1
LMO2+TAL2,0.0063634653070545,LMO2,TAL2
GATA1+ITGA2B,0.0063639655719247,GATA1,ITGA2B
POLR1A+POLR3F,0.0063659016950548,POLR1A,POLR3F
MSH2+POLD1,0.0063774641443642,MSH2,POLD1
PKMYT1+RPS6KA3,0.0063864640636537,PKMYT1,RPS6KA3
CACNA2D1+CACNG1,0.0063917065120294,CACNA2D1,CACNG1
CAMK2B+GRIA4,0.0064009524122198,CAMK2B,GRIA4
IVL+KRT1,0.0064109926337431,IVL,KRT1
WNT10A+WNT6,0.0064242607994377,WNT10A,WNT6
PIGO+PIGT,0.0064295937663479,PIGO,PIGT
LCE1E+LCE3E,0.0064378348937731,LCE1E,LCE3E
CHEK1+HSP90AA1,0.0064416607201412,CHEK1,HSP90AA1
TAF1A+TAF1C,0.0064699017820658,TAF1A,TAF1C
APC+WNT8A,0.0064858341196972,APC,WNT8A
DDX58+PCBP2,0.0065003026037492,DDX58,PCBP2
CEP290+NPHP1,0.0065041031792964,CEP290,NPHP1
DLL4+MIB1,0.0065045844951961,DLL4,MIB1
APC+TFDP3,0.0065090978383763,APC,TFDP3
ACADS+ACSS3,0.006512499375728,ACADS,ACSS3
CAV3+KCNC1,0.0065125772200804,CAV3,KCNC1
SNRPB+SNUPN,0.0065164955652261,SNRPB,SNUPN
HMGB2+PKNOX1,0.0065300534768332,HMGB2,PKNOX1
PAX2+PAXIP1,0.0065365976530387,PAX2,PAXIP1
KLHL13+KLHL21,0.0065404333412386,KLHL13,KLHL21
ERCC6+UBA52,0.0065468053957681,ERCC6,UBA52
SNRPD2+SNUPN,0.0065470415491441,SNRPD2,SNUPN
PLXNA4+RAC1,0.0065522129066255,PLXNA4,RAC1
MMAA+UPRT,0.0065650838850923,MMAA,UPRT
DDX31+NOL10,0.006574515489639,DDX31,NOL10
BIRC3+TNFRSF13C,0.0065803041414871,BIRC3,TNFRSF13C
UBE2C+UBE2U,0.0065817256940724,UBE2C,UBE2U
CEP164+CEP97,0.0065906605434825,CEP164,CEP97
WNT10A+WNT7B,0.0066029165832788,WNT10A,WNT7B
BIRC3+CASP2,0.0066081822360408,BIRC3,CASP2
RPS21+RPS3,0.0066141448329962,RPS21,RPS3
ADAMTS3+ADAMTS6,0.0066190880043788,ADAMTS3,ADAMTS6
CAMSAP3+CTNND1,0.0066279855926781,CAMSAP3,CTNND1
CDC45+MCM4,0.006640570077254,CDC45,MCM4
NHP2+PIF1,0.006650501221846,NHP2,PIF1
PHF21A+REST,0.0066581438042035,PHF21A,REST
IKZF3+POU2AF1,0.0066661523108305,IKZF3,POU2AF1
FOXRED1+NDUFS4,0.0066717204619532,FOXRED1,NDUFS4
CLDN8+TJP1,0.0066769373288458,CLDN8,TJP1
ITGA2B+MPL,0.0066856683725946,ITGA2B,MPL
BRCA2+DMC1,0.0066896678971013,BRCA2,DMC1
GEMIN6+NDC1,0.0067126271864698,GEMIN6,NDC1
SMC3+SMC5,0.0067144838903552,SMC3,SMC5
COX6B1+NDUFB2,0.0067226465254967,COX6B1,NDUFB2
CDH23+PDZD7,0.0067372974113415,CDH23,PDZD7
SNAP29+VAMP8,0.0067466042298257,SNAP29,VAMP8
IL12RB1+JAK2,0.0067492438836016,IL12RB1,JAK2
ENO4+TKTL2,0.0067556389008433,ENO4,TKTL2
RPL7+RSL24D1,0.00675742529257,RPL7,RSL24D1
LIN9+MYBL1,0.006759687698542,LIN9,MYBL1
ADAMTS7+ADAMTSL2,0.0067612901124666,ADAMTS7,ADAMTSL2
CASP14+EVPL,0.0067666053253526,CASP14,EVPL
HNRNPU+TRA2B,0.006779298453328,HNRNPU,TRA2B
EVC2+NSG1,0.0067852619122416,EVC2,NSG1
CBX2+CBX8,0.0067927745318033,CBX2,CBX8
CPSF6+KHSRP,0.0068014550911793,CPSF6,KHSRP
CASP8AP2+CBX8,0.0068018849420635,CASP8AP2,CBX8
CEP290+TMEM67,0.0068166928558173,CEP290,TMEM67
ITGAM+PROC,0.0068256568824438,ITGAM,PROC
TESPA1+THEMIS,0.0068269262059809,TESPA1,THEMIS
ACTL6B+TRRAP,0.0068373653397573,ACTL6B,TRRAP
MMP14+MMP17,0.0068438763530586,MMP14,MMP17
CEP85+SASS6,0.006850260808601,CEP85,SASS6
HNRNPL+SETD2,0.0068521626552849,HNRNPL,SETD2
EP300+TCEA1,0.0068616374778264,EP300,TCEA1
ATP12A+HRH2,0.006873216209121,ATP12A,HRH2
HDAC2+MTA2,0.0068741126697863,HDAC2,MTA2
DDB1+SUV39H2,0.006907115700282,DDB1,SUV39H2
CHRNA1+PAK3,0.0069074702836384,CHRNA1,PAK3
DVL1+WNT2B,0.0069161180474518,DVL1,WNT2B
RPL37A+ZNF622,0.0069248657942693,RPL37A,ZNF622
DMC1+MLH1,0.0069273676287973,DMC1,MLH1
NNT+SIRT3,0.0069409512436502,NNT,SIRT3
CHEK1+PCNA,0.0069678569868903,CHEK1,PCNA
GCGR+GNAS,0.0069681138100462,GCGR,GNAS
TRDMT1+UHRF1,0.0069703488638658,TRDMT1,UHRF1
CBX2+SCML2,0.0069729858951483,CBX2,SCML2
CAPN7+XIRP1,0.0069846290925003,CAPN7,XIRP1
NUP210+RGPD2,0.0069940583447417,NUP210,RGPD2
NRG1+NRG3,0.0070099770007654,NRG1,NRG3
FGF20+KL,0.0070104819951974,FGF20,KL
FRMD8+RHBDD3,0.0070140293888009,FRMD8,RHBDD3
PSMC1+PSMD8,0.0070277876924569,PSMC1,PSMD8
NCK1+WIPF3,0.007030912812592,NCK1,WIPF3
CTHRC1+FZD3,0.0070369755483146,CTHRC1,FZD3
CXorf58+KLHL15,0.0070370134991429,CXorf58,KLHL15
GATAD2B+TAF1A,0.0070456513192015,GATAD2B,TAF1A
KIF11+TUBB1,0.0070503783246419,KIF11,TUBB1
TWIST2+ZEB2,0.0070553767916939,TWIST2,ZEB2
CACNB2+CACNB3,0.0070750430909858,CACNB2,CACNB3
AK3+RRM2,0.00707957987638,AK3,RRM2
CCT8+RUVBL1,0.0070857295112482,CCT8,RUVBL1
SFSWAP+U2SURP,0.0070863956164083,SFSWAP,U2SURP
DIS3L2+ZFC3H1,0.0070875865449753,DIS3L2,ZFC3H1
BUB3+CKAP5,0.0070885603956351,BUB3,CKAP5
NOL12+WDR43,0.0071010478327555,NOL12,WDR43
RAD1+TP53BP1,0.0071060035229213,RAD1,TP53BP1
KCNJ12+LIN7C,0.0071109408489741,KCNJ12,LIN7C
DPP10+PHF11,0.0071317593188385,DPP10,PHF11
PPP1R3A+PPP1R3C,0.0071338645739031,PPP1R3A,PPP1R3C
CHCHD4+COX19,0.0071608442820057,CHCHD4,COX19
COG3+VPS53,0.0071646905132774,COG3,VPS53
CACNA1C+CAV3,0.007164848310568,CACNA1C,CAV3
GTF2F1+RARA,0.0071651123728165,GTF2F1,RARA
KCNA2+PTPRA,0.0071687351115846,KCNA2,PTPRA
ATP1B2+PIGQ,0.0071841471802582,ATP1B2,PIGQ
NGDN+NOL12,0.007210053959406,NGDN,NOL12
IL18RAP+MAPK9,0.0072149327977353,IL18RAP,MAPK9
RNF8+UBE2L6,0.0072170967911539,RNF8,UBE2L6
MYH6+TNNI1,0.0072180347290802,MYH6,TNNI1
WNT1+WNT5B,0.0072218418971632,WNT1,WNT5B
CDT1+RRM2,0.0072300627027324,CDT1,RRM2
BCAR1+DCC,0.0072374610441901,BCAR1,DCC
DDX24+UTP15,0.0072561556985098,DDX24,UTP15
CTR9+POLR2I,0.0072601719757807,CTR9,POLR2I
NOL12+RRP7A,0.0072727475731809,NOL12,RRP7A
B4GALT1+MGAT5B,0.0072753205796419,B4GALT1,MGAT5B
CDK7+RPRD1A,0.007282467916787,CDK7,RPRD1A
RRAS+TSKS,0.0072897262005513,RRAS,TSKS
SDHC+TMEM127,0.0072911423965452,SDHC,TMEM127
DMC1+RAD51C,0.0072915765888895,DMC1,RAD51C
PAK3+RAPSN,0.0072929169619145,PAK3,RAPSN
ENO4+PCK1,0.0072934325738199,ENO4,PCK1
ASB1+TRAF3IP1,0.0072978591873593,ASB1,TRAF3IP1
CACTIN+SNRPG,0.0073024379429375,CACTIN,SNRPG
CHEK1+PARP1,0.007305773050435,CHEK1,PARP1
PES1+POLR1C,0.007319282414023,PES1,POLR1C
FBXL2+SKP1,0.0073194667331258,FBXL2,SKP1
GUF1+MRPS5,0.0073203010475998,GUF1,MRPS5
APOA2+TBL1XR1,0.0073248119564583,APOA2,TBL1XR1
BMPR2+SMAD9,0.0073288515806425,BMPR2,SMAD9
M1AP+PI4K2B,0.0073319053822819,M1AP,PI4K2B
FOXP3+HDAC1,0.0073357538783619,FOXP3,HDAC1
PRKACB+SLC8A3,0.0073382015226388,PRKACB,SLC8A3
HLA-A+IFI35,0.0073500316923348,HLA-A,IFI35
CACNA1B+CAV3,0.0073527839186153,CACNA1B,CAV3
CCDC91+GGA1,0.0073575100824326,CCDC91,GGA1
ACTB+RUVBL1,0.0073676683547585,ACTB,RUVBL1
RPL36+RPS3,0.0073823490635237,RPL36,RPS3
LSM6+SMU1,0.0073902020081447,LSM6,SMU1
E2F2+TFDP1,0.0073987686837866,E2F2,TFDP1
EIF3E+RPS3,0.007408219232494,EIF3E,RPS3
NOL12+NOP58,0.0074276448096755,NOL12,NOP58
CHEK1+TP53,0.0074280199092282,CHEK1,TP53
RNF25+UBE2D3,0.0074311400202692,RNF25,UBE2D3
DNM1+PACSIN1,0.0074376896798501,DNM1,PACSIN1
GRM5+NRXN3,0.007457673708712,GRM5,NRXN3
L1CAM+NCAN,0.0074599287714545,L1CAM,NCAN
NOL12+UTP18,0.0074615569095883,NOL12,UTP18
GATA3+ZBTB7B,0.0074659509606099,GATA3,ZBTB7B
CHFR+UBE2N,0.0074673174232898,CHFR,UBE2N
WNT10A+WNT2B,0.0074712786349757,WNT10A,WNT2B
NEK4+RPGRIP1,0.0074712804178138,NEK4,RPGRIP1
MYL2+TNNI1,0.007476389841723,MYL2,TNNI1
CYP46A1+CYP7B1,0.0074784550867709,CYP46A1,CYP7B1
RAD51AP1+RFC1,0.0074840777471829,RAD51AP1,RFC1
GRB2+JAK1,0.0074900377119151,GRB2,JAK1
DRD2+SST,0.0074980415237078,DRD2,SST
B4GALT1+ST8SIA2,0.0074998016334717,B4GALT1,ST8SIA2
GDI2+RAB6B,0.0075066652027768,GDI2,RAB6B
CAMK2A+RIPK3,0.007515710017857,CAMK2A,RIPK3
ACTB+CHEK1,0.0075165860763379,ACTB,CHEK1
NOTUM+WNT11,0.0075192427713668,NOTUM,WNT11
HSP90AA1+RUVBL1,0.007532263254671,HSP90AA1,RUVBL1
NFATC1+PIM1,0.0075500337229329,NFATC1,PIM1
TRMT2B+WDR12,0.0075624467947379,TRMT2B,WDR12
LMNB2+ZMPSTE24,0.0075664180214563,LMNB2,ZMPSTE24
SLC22A1+SLC47A2,0.0075712578122584,SLC22A1,SLC47A2
RFC5+TP53,0.0075713280644658,RFC5,TP53
PHF21A+RBBP4,0.0075831053526294,PHF21A,RBBP4
INSL4+RLN3,0.0075878344894655,INSL4,RLN3
XPC+XRCC6,0.0075885451944442,XPC,XRCC6
CDT1+PTTG1,0.0075977439258094,CDT1,PTTG1
MED10+POLR2B,0.0076071575585001,MED10,POLR2B
SNIP1+SRRM1,0.007619902859448,SNIP1,SRRM1
YIF1A+YIPF7,0.0076263650901153,YIF1A,YIPF7
MX1+SP110,0.0076267423403024,MX1,SP110
MCM7+RRM2,0.0076289316021774,MCM7,RRM2
GTF2A1+GTF2H5,0.0076360246616372,GTF2A1,GTF2H5
POLE2+POLG2,0.0076414271141535,POLE2,POLG2
RPL27A+RPS29,0.0076424252182545,RPL27A,RPS29
TAL1+ZFPM1,0.007643854779921,TAL1,ZFPM1
HSPA9+TOMM20,0.0076567311185631,HSPA9,TOMM20
CLTA+PIK3C2A,0.0076615357474486,CLTA,PIK3C2A
CHFR+HDAC1,0.007665291848577,CHFR,HDAC1
HRAS+MAP2K1,0.007675237227325,HRAS,MAP2K1
HJURP+MKI67,0.0076833178323402,HJURP,MKI67
SYN1+TRPM7,0.0076997605349323,SYN1,TRPM7
DDX55+TEX10,0.0077089679697696,DDX55,TEX10
BAZ1B+SF3B1,0.0077142756669931,BAZ1B,SF3B1
LSM3+RPP38,0.0077197688005705,LSM3,RPP38
CTSK+NFATC1,0.0077213598923485,CTSK,NFATC1
ANAPC5+UBE2E1,0.0077421661135978,ANAPC5,UBE2E1
RPL9+RPS3,0.0077588864707374,RPL9,RPS3
CDH23+EHD4,0.0077603347524498,CDH23,EHD4
CACNA2D1+CATSPERG,0.0077631021172828,CACNA2D1,CATSPERG
MRPS2+MRPS26,0.0077660932214776,MRPS2,MRPS26
ANAPC5+EP300,0.0077809702372769,ANAPC5,EP300
APC+WNT3A,0.0077932664026304,APC,WNT3A
INSL3+RXFP2,0.0077963287386943,INSL3,RXFP2
BUB1+NEIL3,0.0078154287687515,BUB1,NEIL3
ACTG1+RUVBL1,0.0078265792949361,ACTG1,RUVBL1
DDX56+WDR12,0.0078377151157643,DDX56,WDR12
MCM2+TONSL,0.0078399771551554,MCM2,TONSL
DLGAP3+NRXN3,0.0078408347311203,DLGAP3,NRXN3
GBF1+PI4KB,0.0078451555511716,GBF1,PI4KB
NR2E3+NRL,0.0078468009696749,NR2E3,NRL
CDK10+GALNS,0.0078591813765848,CDK10,GALNS
ACTL6B+ARID1A,0.0078630387535693,ACTL6B,ARID1A
SNPH+TRAK1,0.0078644171900932,SNPH,TRAK1
FOXA1+TLE3,0.0078696290955913,FOXA1,TLE3
HIVEP3+NKX3-2,0.0078738163097439,HIVEP3,NKX3-2
KCNAB2+KCNC3,0.0078771234959985,KCNAB2,KCNC3
FBP1+MPI,0.0079210378774991,FBP1,MPI
ABCA1+TNRC6C,0.0079330231088867,ABCA1,TNRC6C
NSD1+RARA,0.0079335241963766,NSD1,RARA
CASP8+MEFV,0.0079393620068918,CASP8,MEFV
EPB41+SPTA1,0.0079543126626703,EPB41,SPTA1
MCM6+TONSL,0.0079543853560301,MCM6,TONSL
MIB1+UBA52,0.0079794356211299,MIB1,UBA52
SMG1+UPF1,0.0079803400582112,SMG1,UPF1
MYL1+TNNI1,0.0079805937372198,MYL1,TNNI1
DVL1+VANGL2,0.0079840860493029,DVL1,VANGL2
AGXT+PECR,0.0079908741554195,AGXT,PECR
NARS2+QRSL1,0.0079940423894215,NARS2,QRSL1
ANO6+BEST2,0.0080022305649223,ANO6,BEST2
SLC22A16+SLC47A1,0.0080117430528841,SLC22A16,SLC47A1
DDX31+WDR43,0.0080166359311581,DDX31,WDR43
CD34+MPO,0.0080291339978658,CD34,MPO
DDB1+DDB2,0.0080388996593449,DDB1,DDB2
ANKRD28+NOP10,0.0080507324525874,ANKRD28,NOP10
KAT5+RNF8,0.0080586225347121,KAT5,RNF8
CASP8+COL11A2,0.0080590455352815,CASP8,COL11A2
NTN1+TRIM9,0.0080626643881514,NTN1,TRIM9
FANCB+SLX4,0.0080670986254498,FANCB,SLX4
KIF15+SPC25,0.0080707779031002,KIF15,SPC25
RAB6B+VPS52,0.0080761895189117,RAB6B,VPS52
CCR7+CD80,0.0080821702341803,CCR7,CD80
NYX+TRPM1,0.0080837058040369,NYX,TRPM1
CENPI+HJURP,0.008086242827185,CENPI,HJURP
MAP2K7+MAPK12,0.0080922886174494,MAP2K7,MAPK12
RAB7A+STXBP1,0.0080930598180599,RAB7A,STXBP1
RGS20+RGS4,0.0081035467095457,RGS20,RGS4
EP300+UBE2D1,0.0081065937548072,EP300,UBE2D1
RGPD8+XPO1,0.0081070016318874,RGPD8,XPO1
BARD1+RIF1,0.0081167272079377,BARD1,RIF1
CHEK1+TP73,0.0081219436273188,CHEK1,TP73
TRPM6+TRPM7,0.0081365417840546,TRPM6,TRPM7
PSG3+PSG9,0.0081369032855043,PSG3,PSG9
RINT1+VPS54,0.0081687391191308,RINT1,VPS54
GP5+SIGLEC1,0.0081750130335844,GP5,SIGLEC1
PNPLA1+TGM1,0.008175605521078,PNPLA1,TGM1
FIS1+MFN1,0.0081798548586358,FIS1,MFN1
TRAPPC10+TRAPPC11,0.0081928684736106,TRAPPC10,TRAPPC11
RIC1+VPS53,0.0081969715549314,RIC1,VPS53
PCGF5+SCML2,0.0082145727576102,PCGF5,SCML2
ANKRD28+PPIF,0.008219079346623,ANKRD28,PPIF
DDX58+UBB,0.008219322257417,DDX58,UBB
CEP192+SASS6,0.0082219788313003,CEP192,SASS6
AQR+SDE2,0.0082287851112855,AQR,SDE2
LRPPRC+POLRMT,0.0082296608518409,LRPPRC,POLRMT
DPY19L2+SPATA16,0.0082372085162844,DPY19L2,SPATA16
CHFR+PARP1,0.0082431322106116,CHFR,PARP1
NPM1+RUVBL1,0.0082432091897294,NPM1,RUVBL1
ITGA2B+STAT5B,0.0082510031197809,ITGA2B,STAT5B
ESR2+GNG2,0.0082532045531181,ESR2,GNG2
IDH1+NUDT7,0.0082547274145933,IDH1,NUDT7
CDC6+PKMYT1,0.0082548021946336,CDC6,PKMYT1
CHEK1+YWHAB,0.0082628111060256,CHEK1,YWHAB
RPS15+RPS9,0.0082694043764969,RPS15,RPS9
CHD5+HDAC2,0.0082706968836051,CHD5,HDAC2
DTL+MCM2,0.008276296910806,DTL,MCM2
PTPRA+PTS,0.0082895772959149,PTPRA,PTS
SNX9+TNK2,0.0082934857878928,SNX9,TNK2
GRIK5+GRIN3A,0.0082960887403568,GRIK5,GRIN3A
DHFR+SHMT2,0.0082980259072408,DHFR,SHMT2
MCM7+TTK,0.0083036514966992,MCM7,TTK
ITGA2B+PIK3R1,0.0083078012694198,ITGA2B,PIK3R1
CYB5R4+FA2H,0.0083194639360587,CYB5R4,FA2H
HSPA4L+SEH1L,0.0083214986021978,HSPA4L,SEH1L
KRTAP15-1+KRTAP26-1,0.0083243700580511,KRTAP15-1,KRTAP26-1
DPP6+KCNIP2,0.0083258011748879,DPP6,KCNIP2
CEPT1+PCYT1B,0.0083318956320358,CEPT1,PCYT1B
RAD23A+UBQLN2,0.0083437834187422,RAD23A,UBQLN2
SNAP47+YKT6,0.0083525018715211,SNAP47,YKT6
CD300C+FCAR,0.008358592552766,CD300C,FCAR
CTNNB1+MAP2K7,0.0083650201621794,CTNNB1,MAP2K7
EDF1+RPS21,0.0083661294184787,EDF1,RPS21
CRTC1+FOS,0.0083675812723323,CRTC1,FOS
MAP2K7+SHC1,0.0083732218905942,MAP2K7,SHC1
ACAD9+NDUFAF5,0.0083743396343647,ACAD9,NDUFAF5
MED13+PPARGC1B,0.0083832340068285,MED13,PPARGC1B
GLI3+PSME4,0.0083884422142037,GLI3,PSME4
CD300LB+TYROBP,0.0083952725320814,CD300LB,TYROBP
LMO1+LYL1,0.0084048718338009,LMO1,LYL1
TELO2+TRRAP,0.0084095403161711,TELO2,TRRAP
NAF1+PES1,0.0084132535517205,NAF1,PES1
CTNNA1+PARD6A,0.0084204113480845,CTNNA1,PARD6A
CD1B+CD1C,0.0084266039274253,CD1B,CD1C
DNA2+RFC3,0.0084448148313087,DNA2,RFC3
AURKAIP1+MRPL57,0.0084522505925835,AURKAIP1,MRPL57
KIF11+MSH2,0.008472708608517,KIF11,MSH2
MZT2A+NME7,0.0084764092122899,MZT2A,NME7
CCNB3+PLK3,0.0084820169712146,CCNB3,PLK3
CTNNA1+PRKCZ,0.0084838813145949,CTNNA1,PRKCZ
COX7C+NDUFA10,0.0084842371377262,COX7C,NDUFA10
LYRM4+SDHAF1,0.0084926156022671,LYRM4,SDHAF1
ADAM30+SPAM1,0.0084971541598014,ADAM30,SPAM1
MYH3+TPM2,0.0084976177303528,MYH3,TPM2
FOXO4+SGK3,0.0085101610865637,FOXO4,SGK3
GLI2+IFT172,0.0085160985079066,GLI2,IFT172
TRIM17+TRIM44,0.0085240661182525,TRIM17,TRIM44
B3GAT1+CD4,0.0085296093877766,B3GAT1,CD4
AGXT+ALDH8A1,0.0085300742075127,AGXT,ALDH8A1
NGDN+PDCD11,0.0085601350058116,NGDN,PDCD11
AP4M1+AP5Z1,0.0085935558331744,AP4M1,AP5Z1
AATF+NAT10,0.0086139052619777,AATF,NAT10
EXOC4+EXOC8,0.0086218030080788,EXOC4,EXOC8
PLCG1+USP18,0.008641058491304,PLCG1,USP18
CNOT3+HIPK2,0.0086582079111888,CNOT3,HIPK2
FBXW5+FBXW9,0.0086582356331824,FBXW5,FBXW9
NXF1+RRP12,0.0086875163917553,NXF1,RRP12
DVL1+PPP2R5A,0.0086934647380047,DVL1,PPP2R5A
ITGA2B+VWF,0.0086968125330551,ITGA2B,VWF
BOP1+IPO7,0.0087113742997253,BOP1,IPO7
CBFB+MNAT1,0.0087160843825879,CBFB,MNAT1
CASP2+CASP7,0.008716723199338,CASP2,CASP7
CCNB3+MCM4,0.0087248938771019,CCNB3,MCM4
SLX4+UBE2T,0.0087325553010092,SLX4,UBE2T
GNB2+RGS20,0.0087431931336115,GNB2,RGS20
GFAP+MAG,0.0087439187649531,GFAP,MAG
DDX52+WDR75,0.0087506043896604,DDX52,WDR75
GABRG2+GRIA2,0.0087516770448278,GABRG2,GRIA2
UBQLN2+WNT5A,0.0087564535448611,UBQLN2,WNT5A
CHD3+SNAI1,0.0087668915901232,CHD3,SNAI1
LRAT+SPATA7,0.008776981945603,LRAT,SPATA7
INSL3+INSL5,0.008777401233522,INSL3,INSL5
EFNA5+PLCG1,0.008791545436851,EFNA5,PLCG1
PLXNA4+SEMA3E,0.0087986199655487,PLXNA4,SEMA3E
KIF11+KIF22,0.0088057163698609,KIF11,KIF22
ALG11+ALG14,0.0088134462028333,ALG11,ALG14
OGDHL+SDHC,0.008816540818679,OGDHL,SDHC
MUC4+ST6GALNAC4,0.0088471394170629,MUC4,ST6GALNAC4
GIN1+PGBD1,0.008848769719612,GIN1,PGBD1
SF3B3+SNIP1,0.0088534765714199,SF3B3,SNIP1
MIB1+UBB,0.0088560030193525,MIB1,UBB
PSTK+SECISBP2,0.0088570278712986,PSTK,SECISBP2
GJA5+TBX5,0.0088600979977868,GJA5,TBX5
POU2F2+POU2F3,0.0088626572660769,POU2F2,POU2F3
BDP1+GTF3C3,0.0088690574549111,BDP1,GTF3C3
GAR1+GNL3,0.0088702143845562,GAR1,GNL3
NXN+TXNDC2,0.0088819054775261,NXN,TXNDC2
FOXF1+MTHFSD,0.008882568372612,FOXF1,MTHFSD
CHST14+CHST3,0.0088833755044668,CHST14,CHST3
COG3+VPS52,0.0088963241068017,COG3,VPS52
DPY19L2+SUN5,0.0089006019044693,DPY19L2,SUN5
CDKN1B+DCAF17,0.0089036795815543,CDKN1B,DCAF17
PCYOX1+PON1,0.0089090799120198,PCYOX1,PON1
BCCIP+FTSJ3,0.0089118815921893,BCCIP,FTSJ3
NOL12+RSL24D1,0.008923189823729,NOL12,RSL24D1
EIF5A+RPL8,0.0089258782972591,EIF5A,RPL8
DVL1+FZD3,0.0089321204469064,DVL1,FZD3
GEMIN2+NDC1,0.0089351637286668,GEMIN2,NDC1
PLEC+RPL39L,0.0089623692621264,PLEC,RPL39L
PPP1R1A+PRKACB,0.0089907128657794,PPP1R1A,PRKACB
HDAC1+HDAC2,0.0089952208166068,HDAC1,HDAC2
MMP21+RAI2,0.0090100289306117,MMP21,RAI2
NARS2+PARS2,0.0090114111538178,NARS2,PARS2
AURKA+KIF18A,0.0090212362207749,AURKA,KIF18A
CNTN2+L1CAM,0.0090339717826992,CNTN2,L1CAM
LMO2+TAL1,0.0090407584030678,LMO2,TAL1
CDT1+SMARCA5,0.009064118702565,CDT1,SMARCA5
PCGF2+SCML2,0.009080204406774,PCGF2,SCML2
CAV1+HEPACAM,0.0090809607479673,CAV1,HEPACAM
CLPP+HSPA9,0.0090830440437622,CLPP,HSPA9
GFAP+LAMP2,0.0090937525150191,GFAP,LAMP2
DHX37+WDR46,0.0091133659169965,DHX37,WDR46
CYP2A13+GSTA5,0.0091152363847209,CYP2A13,GSTA5
BRCA2+CHEK1,0.0091164616419808,BRCA2,CHEK1
MAP2K7+PEBP1,0.009134630496914,MAP2K7,PEBP1
MNT+NCK1,0.0091527814843655,MNT,NCK1
EEF1A1+RUVBL1,0.0091675510860589,EEF1A1,RUVBL1
CPSF2+NUP54,0.0091795818314387,CPSF2,NUP54
EP400+MORF4L1,0.0091808240716232,EP400,MORF4L1
BTAF1+SBNO1,0.0091850063836968,BTAF1,SBNO1
CDON+TNNT1,0.0091868923996852,CDON,TNNT1
MGAT4B+MGAT5B,0.0091876537065198,MGAT4B,MGAT5B
GRHL1+RXRA,0.0091970308274261,GRHL1,RXRA
RPL27A+TMA16,0.0091971577078071,RPL27A,TMA16
ANP32A+SET,0.0092144127225165,ANP32A,SET
OPALIN+TMEM235,0.0092178736608159,OPALIN,TMEM235
DVL1+FZD7,0.0092306082296686,DVL1,FZD7
KCNC1+KCNIP4,0.0092412476872216,KCNC1,KCNIP4
KIF15+NUMA1,0.009248276354428,KIF15,NUMA1
DNAL1+FTCD,0.0092504877987384,DNAL1,FTCD
ASPM+CDCA3,0.0092525902712337,ASPM,CDCA3
KCNAB3+KCNB2,0.0092865132975753,KCNAB3,KCNB2
BCAR1+NPHP1,0.0092923317043569,BCAR1,NPHP1
CHEK1+XRCC6,0.0093254984199244,CHEK1,XRCC6
CYC1+PMPCA,0.0093424595949999,CYC1,PMPCA
MAP2K7+MAPK8IP2,0.0093567901028817,MAP2K7,MAPK8IP2
RPL10L+RPS3,0.0093660955575253,RPL10L,RPS3
CACNA1G+CACNB2,0.0093731482197042,CACNA1G,CACNB2
CCNB1+RAD51AP1,0.0093766059420765,CCNB1,RAD51AP1
INSL3+RLN3,0.0094040720650583,INSL3,RLN3
MRPS18C+MTIF2,0.0094121728084903,MRPS18C,MTIF2
CHEK1+HSP90AB1,0.0094251620511455,CHEK1,HSP90AB1
RPL37A+RPS3,0.009426127996761,RPL37A,RPS3
SRL+TNNC2,0.0094322104037647,SRL,TNNC2
GSPT2+SMG1,0.0094544605800218,GSPT2,SMG1
WIF1+WNT10A,0.0094552532038128,WIF1,WNT10A
GCH1+GUCY2F,0.0094734132514411,GCH1,GUCY2F
ANAPC4+NEK2,0.0094736113323474,ANAPC4,NEK2
POLQ+UNG,0.0094804649778049,POLQ,UNG
KHSRP+SF3B1,0.0094850917206102,KHSRP,SF3B1
CTNNA1+EGF,0.0094897536641377,CTNNA1,EGF
NEB+TNNC2,0.0095002877243593,NEB,TNNC2
BICD2+NDE1,0.0095434720015628,BICD2,NDE1
CLSTN1+DLGAP4,0.0095437315288242,CLSTN1,DLGAP4
ACACA+ACSF3,0.0095497602309758,ACACA,ACSF3
